Latitude,Longitude,Time,Salinity (psu),Water temperature (degc)
64.5,10.0,15-05-2016,32.33,7.512999534606934
64.5,10.0,16-05-2016,32.32,7.616999626159668
64.5,10.0,17-05-2016,32.33,7.528999328613281
64.5,10.0,18-05-2016,32.37,7.6479997634887695
64.5,10.0,19-05-2016,32.41,7.581999778747559
64.5,10.0,20-05-2016,32.38,7.874999046325684
64.5,10.0,21-05-2016,32.37,7.961999893188477
64.5,10.0,22-05-2016,32.4,8.279999732971191
64.5,10.0,23-05-2016,32.36,8.153999328613281
64.5,10.0,24-05-2016,32.32,8.420999526977539
64.5,10.0,25-05-2016,32.38,8.440999031066895
